iter	Passed	Remaining
162	1129153	16189151
163	1135910	16179804
164	1142750	16171654
165	1149369	16160406
166	1156391	16154860
167	1163180	16146057
168	1169542	16131382
169	1175885	16116553
170	1183314	16116602
171	1189555	16100488
172	1197190	16103248
173	1204070	16095794
174	1211145	16090930
175	1217827	16080864
176	1225191	16079778
177	1232105	16072751
178	1238629	16060659
179	1245938	16058759
180	1252435	16046396
181	1260030	16048080
182	1266735	16038392
183	1273880	16034278
184	1281250	16032941
185	1287589	16018723
186	1294736	16014574
187	1301840	16009869
188	1309176	16007969
189	1316270	16003074
190	1322396	15986456
191	1329581	15982673
192	1336508	15975779
193	1342195	15954138
194	1349915	15956692
195	1357213	15954180
196	1364538	15951943
197	1371267	15942711
198	1378897	15943937
199	1385654	15935027
200	1392232	15924089
201	1399160	15917183
202	1405050	15898528
203	1411965	15891534
204	1419059	15886541
205	1425734	15876871
206	1431921	15861817
207	1438907	15855654
208	1446521	15856367
209	1453911	15854557
210	1460676	15845914
211	1467745	15840577
212	1474835	15835444
213	1481584	15826646
214	1488295	15817469
215	1494576	15803759
216	1501507	15796965
217	1508614	15792006
218	1515691	15786718
219	1522343	15777011
220	1528927	15766631
221	1536430	15765713
222	1543586	15761191
223	1548969	15738633
224	1555614	15728992
225	1563104	15727877
226	1570428	15725035
227	1577720	15721846
228	1585294	15721411
229	1592164	15713967
230	1599146	15707634
231	1605330	15693492
232	1612781	15691740
233	1620198	15689619
234	1627027	15681771
235	1634163	15676890
236	1641584	15674706
237	1648945	15671915
238	1655823	15664505
239	1663077	15660642
240	1670384	15657256
241	1677215	15649389
242	1684800	15648536
243	1691132	15636043
244	1698038	15628888
245	1704298	15615803
246	1710944	15606310
247	1717860	15599283
248	1725266	15596682
249	1732477	15592293
250	1738965	15581411
251	1745416	15570221
252	1752326	15563153
253	1752780	15498992
254	1759717	15492415
255	1766957	15488488
256	1774076	15483478
257	1781100	15477624
258	1787433	15465787
259	1794153	15457319
260	1800784	15448106
261	1807076	15436015
262	1813932	15428771
263	1820094	15415649
264	1827578	15413726
265	1835000	15411244
266	1842077	15405836
267	1848228	15392704
268	1855854	15391861
269	1862971	15386763
270	1869641	15377970
271	1877107	15375718
272	1883506	15364721
273	1891102	15363485
274	1898038	15356859
275	1905263	15352559
276	1912325	15346929
277	1919299	15340588
278	1926516	15336178
279	1934054	15334293
280	1941229	15329497
281	1948887	15328482
282	1955431	15318697
283	1964070	15325282
284	1971188	15319939
285	1979930	15327157
286	1991093	15352929
287	2001294	15371055
288	2011601	15389795
289	2019592	15390687
290	2030911	15416778
291	2042515	15444777
292	2050839	15447787
293	2059580	15453860
294	2070465	15475850
295	2080777	15493353
296	2092534	15521395
297	2103147	15540707
298	2113925	15561035
299	2124862	15582322
300	2136080	15605449
301	2147434	15629340
302	2159090	15655189
303	2168549	15664918
304	2179389	15684460
305	2190661	15706902
306	2202007	15729650
307	2213188	15751001
308	2223423	15765437
309	2232879	15774214
310	2243451	15790725
311	2251383	15788548
312	2258790	15782669
313	2265323	15770688
314	2272565	15763670
315	2278220	15745677
316	2285587	15739551
317	2292436	15729861
318	2299242	15719900
319	2307040	15716711
320	2314117	15708603
321	2321342	15701501
322	2328998	15697306
323	2334973	15681796
324	2341863	15672469
325	2349391	15667416
326	2356343	15658513
327	2363268	15649446
328	2370725	15643902
329	2377543	15634152
330	2385033	15628813
331	2390594	15610869
332	2395402	15588097
